resource,case:concept:name,case:creator,concept:name,org:resource,time:timestamp
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,7/24/2019 19:12
Geoff Montee,,Geoff Montee,Closed,Lawrin Novitsky,7/23/2019 21:46
Cai Zhejun,,Cai Zhejun,Closed,Lawrin Novitsky,7/23/2019 12:52
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,7/23/2019 12:22
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,7/23/2019 12:22
Matthias Schröder,,Matthias Schröder,Open,Lawrin Novitsky,7/23/2019 12:22
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,7/4/2019 18:15
Michal Schorm,,Michal Schorm,Closed,Lawrin Novitsky,6/27/2019 12:02
Michal Schorm,,Michal Schorm,Closed,Lawrin Novitsky,6/26/2019 14:00
Michal Schorm,,Michal Schorm,Open,Rasmus Johansson,6/26/2019 11:55
Matthias Schröder,,Matthias Schröder,Closed,Lawrin Novitsky,6/24/2019 10:34
Geoff Montee,There was some work done on this issue in the past. But the assignee is not working on it anymore.,Geoff Montee,Stalled,Lawrin Novitsky,6/20/2019 7:44
Lawrin Novitsky,There was some work done on this issue in the past. But the assignee is not working on it anymore.,Lawrin Novitsky,Stalled,Lawrin Novitsky,6/19/2019 22:09
Luis A S C Junior,,Luis A S C Junior,Open,Lawrin Novitsky,6/19/2019 21:55
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,6/19/2019 21:46
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,6/19/2019 11:23
Michal Schorm,,Michal Schorm,Closed,Lawrin Novitsky,6/14/2019 7:58
Thorsten Hojnacki,,Thorsten Hojnacki,Closed,Lawrin Novitsky,6/6/2019 22:07
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,6/5/2019 15:59
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,6/3/2019 10:45
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,6/3/2019 10:44
Chakravarthy Gopi,,Chakravarthy Gopi,Closed,Lawrin Novitsky,6/1/2019 16:11
Geoff Montee,,Geoff Montee,Closed,Lawrin Novitsky,6/1/2019 4:54
Joshua Colvin,,Joshua Colvin,Closed,Lawrin Novitsky,5/21/2019 8:08
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,5/21/2019 8:04
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,5/21/2019 8:03
Davison Long,,Davison Long,Closed,Lawrin Novitsky,5/21/2019 8:01
IT Particip,,IT Particip,Closed,Lawrin Novitsky,5/21/2019 7:58
Geoff Montee,,Geoff Montee,Open,Lawrin Novitsky,5/20/2019 22:39
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,5/17/2019 8:14
Lawrin Novitsky,There was some work done on this issue in the past. But the assignee is not working on it anymore.,Lawrin Novitsky,Stalled,Lawrin Novitsky,5/17/2019 7:48
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,5/10/2019 8:10
Kristian Wedberg,,Kristian Wedberg,Open,Lawrin Novitsky,5/10/2019 7:45
Peter Botha,,Peter Botha,Open,Lawrin Novitsky,5/10/2019 7:36
Patrick Dudziak,,Patrick Dudziak,Closed,Lawrin Novitsky,5/8/2019 11:22
Geoff Montee,,Geoff Montee,Open,Lawrin Novitsky,4/30/2019 20:49
Geoff Montee,,Geoff Montee,Closed,Lawrin Novitsky,4/30/2019 20:39
Geoff Montee,,Geoff Montee,Closed,Lawrin Novitsky,4/25/2019 22:18
Geoff Montee,,Geoff Montee,Closed,Lawrin Novitsky,4/8/2019 14:13
Geoff Montee,,Geoff Montee,Open,Lawrin Novitsky,4/6/2019 22:53
Geoff Montee,,Geoff Montee,Open,Lawrin Novitsky,4/6/2019 20:17
Geoff Montee,,Geoff Montee,Closed,Lawrin Novitsky,4/4/2019 22:57
Rasmus Johansson,,Rasmus Johansson,Closed,Lawrin Novitsky,4/4/2019 21:18
Peter Godwin,There was some work done on this issue in the past. But the assignee is not working on it anymore.,Peter Godwin,Stalled,Lawrin Novitsky,4/4/2019 4:49
Heiko Kirschke,,Heiko Kirschke,Open,Lawrin Novitsky,3/24/2019 22:05
Peter Godwin,,Peter Godwin,Closed,Lawrin Novitsky,3/21/2019 22:29
Peter Godwin,,Peter Godwin,Closed,Lawrin Novitsky,3/19/2019 12:25
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,3/18/2019 14:02
Johan Telenius,,Johan Telenius,Closed,Lawrin Novitsky,3/14/2019 23:21
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,3/12/2019 13:48
Chris Calender,,Chris Calender,Confirmed,Lawrin Novitsky,3/12/2019 13:48
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,3/11/2019 23:29
Anusha Rao,,Anusha Rao,Closed,Lawrin Novitsky,3/7/2019 15:56
Ross,,Ross,Closed,Lawrin Novitsky,2/21/2019 15:49
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,2/15/2019 13:09
pratik nelge,,pratik nelge,Closed,Lawrin Novitsky,2/14/2019 8:55
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,2/12/2019 13:48
Rajnish,,Rajnish,Open,Lawrin Novitsky,2/11/2019 11:22
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,2/1/2019 8:36
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,1/31/2019 23:46
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,1/30/2019 22:15
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,1/30/2019 22:14
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,1/30/2019 22:12
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,1/30/2019 21:28
IT Particip,,IT Particip,Closed,Lawrin Novitsky,1/30/2019 21:23
Matthias Schröder,,Matthias Schröder,Open,Lawrin Novitsky,1/26/2019 11:57
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,1/23/2019 18:36
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,1/18/2019 0:33
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,12/21/2018 8:43
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,12/21/2018 8:43
Patrick Dudziak,,Patrick Dudziak,Closed,Lawrin Novitsky,12/2/2018 22:38
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,11/30/2018 0:21
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,11/14/2018 11:01
Henrik Holst,,Henrik Holst,Closed,Lawrin Novitsky,11/12/2018 22:00
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,11/9/2018 0:12
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,11/9/2018 0:12
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,11/5/2018 23:07
David Thompson,,David Thompson,Closed,Lawrin Novitsky,11/4/2018 22:41
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,11/4/2018 22:40
Hans-Christian Scherzer,,Hans-Christian Scherzer,Closed,Lawrin Novitsky,11/4/2018 22:35
kriti suwalka,,kriti suwalka,Closed,Lawrin Novitsky,11/4/2018 21:40
Danniel Corbit,,Danniel Corbit,Closed,Lawrin Novitsky,11/4/2018 21:38
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,11/4/2018 21:35
